source_id,species,source_type,territory,doi_or_url,license_or_access,evidence_class,boundary_authorized
gbif-2026-08-28,Tuber aestivum,aggregated presence-only,Italy,https://api.gbif.org/v1/occurrence/search,GBIF source-dependent,PRESENCE_EVIDENCE,false
gbif-2026-08-28,Tuber borchii,aggregated presence-only,Italy,https://api.gbif.org/v1/occurrence/search,GBIF source-dependent,PRESENCE_EVIDENCE,false
gbif-2026-08-28,Tuber magnatum,aggregated presence-only,Italy,https://api.gbif.org/v1/occurrence/search,GBIF source-dependent,PRESENCE_EVIDENCE,false
gbif-2026-08-28,Tuber melanosporum,aggregated presence-only,Italy,https://api.gbif.org/v1/occurrence/search,GBIF source-dependent,PRESENCE_EVIDENCE,false
gbif-2026-08-28,Tuber uncinatum,aggregated presence-only,Italy,https://api.gbif.org/v1/occurrence/search,GBIF source-dependent,PRESENCE_EVIDENCE,false
gbif-2026-08-28,Boletus edulis,aggregated presence-only,Italy,https://api.gbif.org/v1/occurrence/search,GBIF source-dependent,PRESENCE_EVIDENCE,false
gbif-2026-08-28,Cantharellus cibarius,aggregated presence-only,Italy,https://api.gbif.org/v1/occurrence/search,GBIF source-dependent,PRESENCE_EVIDENCE,false
salerni-perini-gardin-2014,Tuber borchii,weekly field monitoring,"Marina di Alberese, Tuscany",https://doi.org/10.4236/nr.2014.58038,CC BY 4.0,PRESENCE_EVIDENCE+LOCAL_PEAK,false
vita-et-al-2018,Tuber magnatum,targeted mature fruitbody sampling,Multiple Italian regions,https://doi.org/10.1038/s41598-018-25520-7,Open article,PRESENCE_EVIDENCE,false
mello-et-al-2014,Tuber magnatum,mycelium study with supplementary dataset,Four Italian truffle grounds,https://doi.org/10.1371/journal.pone.0115921,CC BY,PRESENCE_EVIDENCE,false
vita-et-al-2015,Tuber magnatum,targeted fruitbody sampling,Alba and San Miniato,https://doi.org/10.1038/srep12629,Open article,PRESENCE_EVIDENCE,false
pacioni-et-al-2014,Tuber melanosporum,instrumented orchard monitoring,"Roccascalegna, Abruzzo",https://doi.org/10.1007/s00572-014-0561-z,Article/PubMed metadata,PRESENCE_EVIDENCE,false
egli-et-al-2022,Tuber aestivum,long-term field monitoring,Germany and Switzerland,https://doi.org/10.1111/gcb.16424,Open article,LOCAL_PEAK,false
